in s,C1 in V,C2 in V
-1.16736E-01,6.717539E+00,8.028477E+00
-1.16736E-01,6.854258E+00,8.233555E+00
-1.16712E-01,6.717539E+00,7.969883E+00
-1.16712E-01,6.864023E+00,8.204258E+00
-1.16688E-01,6.717539E+00,7.960117E+00
-1.16688E-01,6.864023E+00,8.184727E+00
-1.16664E-01,6.717539E+00,7.921055E+00
-1.16664E-01,6.864023E+00,8.126133E+00
-1.16640E-01,6.717539E+00,7.921055E+00
-1.16640E-01,6.864023E+00,8.126133E+00
-1.16616E-01,6.717539E+00,7.891758E+00
-1.16616E-01,6.864023E+00,8.145664E+00
-1.16592E-01,6.727305E+00,7.891758E+00
-1.16592E-01,6.864023E+00,8.155430E+00
-1.16568E-01,6.717539E+00,7.901523E+00
-1.16568E-01,6.864023E+00,8.155430E+00
-1.16544E-01,6.717539E+00,7.891758E+00
-1.16544E-01,6.864023E+00,8.135898E+00
-1.16520E-01,6.717539E+00,7.891758E+00
-1.16520E-01,6.864023E+00,8.165195E+00
-1.16496E-01,6.717539E+00,7.921055E+00
-1.16496E-01,6.864023E+00,8.223789E+00
-1.16472E-01,6.717539E+00,7.921055E+00
-1.16472E-01,6.873789E+00,8.223789E+00
-1.16448E-01,6.717539E+00,7.930820E+00
-1.16448E-01,6.873789E+00,8.214023E+00
-1.16424E-01,6.717539E+00,7.911289E+00
-1.16424E-01,6.864023E+00,8.223789E+00
-1.16400E-01,6.717539E+00,7.911289E+00
-1.16400E-01,6.864023E+00,8.223789E+00
-1.16376E-01,6.717539E+00,7.960117E+00
-1.16376E-01,6.854258E+00,8.214023E+00
-1.16352E-01,6.717539E+00,7.911289E+00
-1.16352E-01,6.864023E+00,8.223789E+00
-1.16328E-01,6.707773E+00,7.911289E+00
-1.16328E-01,6.864023E+00,8.223789E+00
-1.16304E-01,6.707773E+00,7.979648E+00
-1.16304E-01,6.864023E+00,8.282383E+00
-1.16280E-01,6.717539E+00,7.979648E+00
-1.16280E-01,6.864023E+00,8.282383E+00
-1.16256E-01,6.727305E+00,7.999180E+00
-1.16256E-01,6.854258E+00,8.380039E+00
-1.16232E-01,6.717539E+00,8.057773E+00
-1.16232E-01,6.864023E+00,8.380039E+00
-1.16208E-01,6.717539E+00,8.057773E+00
-1.16208E-01,6.864023E+00,8.311680E+00
-1.16184E-01,6.717539E+00,8.057773E+00
-1.16184E-01,6.864023E+00,8.301914E+00
-1.16160E-01,6.717539E+00,8.077305E+00
-1.16160E-01,6.854258E+00,8.380039E+00
-1.16136E-01,6.717539E+00,8.126133E+00
