in s,C1 in V
-5.5492452E-01,5.65039E+00
-5.5491528E-01,5.70898E+00
-5.5490604E-01,5.68945E+00
-5.5489680E-01,5.72852E+00
-5.5488756E-01,5.65039E+00
-5.5487832E-01,5.68945E+00
-5.5486908E-01,5.68945E+00
-5.5485984E-01,5.65039E+00
-5.5485060E-01,5.70898E+00
-5.5484136E-01,5.65039E+00
-5.5483212E-01,5.70898E+00
-5.5482288E-01,5.68945E+00
-5.5481364E-01,5.68945E+00
-5.5480440E-01,5.70898E+00
-5.5479516E-01,5.70898E+00
-5.5478592E-01,5.65039E+00
-5.5477668E-01,5.74805E+00
-5.5476744E-01,5.66992E+00
-5.5475820E-01,5.66992E+00
-5.5474896E-01,5.68945E+00
-5.5473972E-01,5.72852E+00
-5.5473048E-01,5.66992E+00
-5.5472124E-01,5.70898E+00
-5.5471200E-01,5.74805E+00
-5.5470276E-01,5.68945E+00
-5.5469352E-01,5.70898E+00
-5.5468428E-01,5.68945E+00
-5.5467504E-01,5.70898E+00
-5.5466580E-01,5.63086E+00
-5.5465656E-01,5.66992E+00
-5.5464732E-01,5.66992E+00
-5.5463808E-01,5.68945E+00
-5.5462884E-01,5.70898E+00
-5.5461960E-01,5.70898E+00
-5.5461036E-01,5.68945E+00
-5.5460112E-01,5.70898E+00
-5.5459188E-01,5.72852E+00
-5.5458264E-01,5.68945E+00
-5.5457340E-01,5.68945E+00
-5.5456416E-01,5.74805E+00
-5.5455492E-01,5.74805E+00
-5.5454568E-01,5.68945E+00
-5.5453644E-01,5.70898E+00
-5.5452720E-01,5.65039E+00
-5.5451796E-01,5.65039E+00
-5.5450872E-01,5.70898E+00
-5.5449948E-01,5.72852E+00
-5.5449024E-01,5.74805E+00
-5.5448100E-01,5.68945E+00
-5.5447176E-01,5.65039E+00
-5.5446252E-01,5.72852E+00
-5.5445328E-01,5.74805E+00
-5.5444404E-01,5.72852E+00
-5.5443480E-01,5.74805E+00
-5.5442556E-01,5.70898E+00
-5.5441632E-01,5.76758E+00
-5.5440708E-01,5.65039E+00
-5.5439784E-01,5.70898E+00
-5.5438860E-01,5.68945E+00
-5.5437936E-01,5.63086E+00
-5.5437012E-01,5.70898E+00
-5.5436088E-01,5.70898E+00
-5.5435164E-01,5.68945E+00
-5.5434240E-01,5.72852E+00
-5.5433316E-01,5.65039E+00
-5.5432392E-01,5.70898E+00
-5.5431468E-01,5.70898E+00
-5.5430544E-01,5.68945E+00
-5.5429620E-01,5.72852E+00
-5.5428696E-01,5.68945E+00
-5.5427772E-01,5.82617E+00
-5.5426848E-01,5.70898E+00
-5.5425924E-01,5.68945E+00
-5.5425000E-01,5.63086E+00
-5.5424076E-01,5.65039E+00
-5.5423152E-01,5.74805E+00
-5.5422228E-01,5.63086E+00
-5.5421304E-01,5.70898E+00
-5.5420380E-01,5.70898E+00
-5.5419456E-01,5.70898E+00
-5.5418532E-01,5.68945E+00
-5.5417608E-01,5.70898E+00
-5.5416684E-01,5.68945E+00
-5.5415760E-01,5.72852E+00
-5.5414836E-01,5.68945E+00
-5.5413912E-01,5.74805E+00
-5.5412988E-01,5.68945E+00
-5.5412064E-01,5.66992E+00
-5.5411140E-01,5.68945E+00
-5.5410216E-01,5.74805E+00
-5.5409292E-01,5.68945E+00
-5.5408368E-01,5.70898E+00
-5.5407444E-01,5.68945E+00
-5.5406520E-01,5.68945E+00
-5.5405596E-01,5.70898E+00
-5.5404672E-01,5.76758E+00
-5.5403748E-01,5.65039E+00
-5.5402824E-01,5.68945E+00
-5.5401900E-01,5.74805E+00
-5.5400976E-01,5.74805E+00
-5.5400052E-01,5.74805E+00
-5.5399128E-01,5.76758E+00
-5.5398204E-01,5.70898E+00
-5.5397280E-01,5.74805E+00
-5.5396356E-01,5.72852E+00
-5.5395432E-01,5.70898E+00
-5.5394508E-01,5.70898E+00
-5.5393584E-01,5.72852E+00
-5.5392660E-01,5.70898E+00
-5.5391736E-01,5.76758E+00
-5.5390812E-01,5.72852E+00
-5.5389888E-01,5.68945E+00
-5.5388964E-01,5.65039E+00
-5.5388040E-01,5.70898E+00
-5.5387116E-01,5.70898E+00
-5.5386192E-01,5.70898E+00
-5.5385268E-01,5.66992E+00
-5.5384344E-01,5.70898E+00
-5.5383420E-01,5.74805E+00
-5.5382496E-01,5.72852E+00
-5.5381572E-01,5.63086E+00
-5.5380648E-01,5.70898E+00
-5.5379724E-01,5.72852E+00
-5.5378800E-01,5.72852E+00
-5.5377876E-01,5.74805E+00
-5.5376952E-01,5.76758E+00
-5.5376028E-01,5.68945E+00
-5.5375104E-01,5.74805E+00
-5.5374180E-01,5.70898E+00
-5.5373256E-01,5.70898E+00
-5.5372332E-01,5.74805E+00
-5.5371408E-01,5.72852E+00
-5.5370484E-01,5.66992E+00
-5.5369560E-01,5.76758E+00
-5.5368636E-01,5.70898E+00
-5.5367712E-01,5.74805E+00
-5.5366788E-01,5.65039E+00
-5.5365864E-01,5.70898E+00
-5.5364940E-01,5.76758E+00
-5.5364016E-01,5.76758E+00
-5.5363092E-01,5.72852E+00
-5.5362168E-01,5.74805E+00
-5.5361244E-01,5.74805E+00
-5.5360320E-01,5.65039E+00
-5.5359396E-01,5.76758E+00
-5.5358472E-01,5.72852E+00
-5.5357548E-01,5.76758E+00
-5.5356624E-01,5.72852E+00
-5.5355700E-01,5.72852E+00
-5.5354776E-01,5.76758E+00
-5.5353852E-01,5.78711E+00
-5.5352928E-01,5.70898E+00
-5.5352004E-01,5.70898E+00
-5.5351080E-01,5.70898E+00
-5.5350156E-01,5.76758E+00
-5.5349232E-01,5.72852E+00
-5.5348308E-01,5.76758E+00
-5.5347384E-01,5.70898E+00
-5.5346460E-01,5.76758E+00
-5.5345536E-01,5.76758E+00
-5.5344612E-01,5.76758E+00
-5.5343688E-01,5.76758E+00
-5.5342764E-01,5.70898E+00
-5.5341840E-01,5.72852E+00
-5.5340916E-01,5.68945E+00
-5.5339992E-01,5.74805E+00
-5.5339068E-01,5.74805E+00
-5.5338144E-01,5.70898E+00
-5.5337220E-01,5.72852E+00
-5.5336296E-01,5.65039E+00
-5.5335372E-01,5.74805E+00
-5.5334448E-01,5.66992E+00
-5.5333524E-01,5.72852E+00
-5.5332600E-01,5.72852E+00
-5.5331676E-01,5.76758E+00
-5.5330752E-01,5.76758E+00
-5.5329828E-01,5.70898E+00
-5.5328904E-01,5.74805E+00
-5.5327980E-01,5.80664E+00
-5.5327056E-01,5.72852E+00
-5.5326132E-01,5.65039E+00
-5.5325208E-01,5.72852E+00
-5.5324284E-01,5.72852E+00
-5.5323360E-01,5.68945E+00
-5.5322436E-01,5.76758E+00
-5.5321512E-01,5.70898E+00
-5.5320588E-01,5.74805E+00
-5.5319664E-01,5.70898E+00
-5.5318740E-01,5.72852E+00
-5.5317816E-01,5.68945E+00
-5.5316892E-01,5.76758E+00
-5.5315968E-01,5.72852E+00
-5.5315044E-01,5.70898E+00
-5.5314120E-01,5.68945E+00
-5.5313196E-01,5.72852E+00
-5.5312272E-01,5.68945E+00
-5.5311348E-01,5.76758E+00
-5.5310424E-01,5.70898E+00
-5.5309500E-01,5.76758E+00
-5.5308576E-01,5.66992E+00
-5.5307652E-01,5.72852E+00
-5.5306728E-01,5.70898E+00
-5.5305804E-01,5.72852E+00
-5.5304880E-01,5.74805E+00
-5.5303956E-01,5.66992E+00
-5.5303032E-01,5.68945E+00
-5.5302108E-01,5.76758E+00
-5.5301184E-01,5.72852E+00
-5.5300260E-01,5.66992E+00
-5.5299336E-01,5.70898E+00
-5.5298412E-01,5.74805E+00
-5.5297488E-01,5.66992E+00
-5.5296564E-01,5.65039E+00
-5.5295640E-01,5.70898E+00
-5.5294716E-01,5.70898E+00
-5.5293792E-01,5.74805E+00
-5.5292868E-01,5.68945E+00
-5.5291944E-01,5.70898E+00
-5.5291020E-01,5.70898E+00
-5.5290096E-01,5.66992E+00
-5.5289172E-01,5.70898E+00
-5.5288248E-01,5.66992E+00
-5.5287324E-01,5.74805E+00
-5.5286400E-01,5.68945E+00
-5.5285476E-01,5.68945E+00
-5.5284552E-01,5.70898E+00
-5.5283628E-01,5.70898E+00
-5.5282704E-01,5.63086E+00
-5.5281780E-01,5.61133E+00
-5.5280856E-01,5.66992E+00
-5.5279932E-01,5.66992E+00
-5.5279008E-01,5.76758E+00
-5.5278084E-01,5.70898E+00
-5.5277160E-01,5.74805E+00
-5.5276236E-01,5.72852E+00
-5.5275312E-01,5.72852E+00
-5.5274388E-01,5.68945E+00
-5.5273464E-01,5.72852E+00
-5.5272540E-01,5.70898E+00
-5.5271616E-01,5.66992E+00
-5.5270692E-01,5.70898E+00
-5.5269768E-01,5.66992E+00
-5.5268844E-01,5.66992E+00
-5.5267920E-01,5.66992E+00
-5.5266996E-01,5.68945E+00
-5.5266072E-01,5.68945E+00
-5.5265148E-01,5.68945E+00
-5.5264224E-01,5.76758E+00
-5.5263300E-01,5.65039E+00
-5.5262376E-01,5.70898E+00
-5.5261452E-01,5.70898E+00
-5.5260528E-01,5.70898E+00
-5.5259604E-01,5.65039E+00
-5.5258680E-01,5.68945E+00
-5.5257756E-01,5.78711E+00
-5.5256832E-01,5.70898E+00
-5.5255908E-01,5.68945E+00
-5.5254984E-01,5.65039E+00
-5.5254060E-01,5.70898E+00
-5.5253136E-01,5.72852E+00
-5.5252212E-01,5.68945E+00
-5.5251288E-01,5.76758E+00
-5.5250364E-01,5.74805E+00
-5.5249440E-01,5.66992E+00
-5.5248516E-01,5.72852E+00
-5.5247592E-01,5.65039E+00
-5.5246668E-01,5.76758E+00
-5.5245744E-01,5.70898E+00
-5.5244820E-01,5.68945E+00
-5.5243896E-01,5.76758E+00
-5.5242972E-01,5.74805E+00
-5.5242048E-01,5.66992E+00
-5.5241124E-01,5.70898E+00
-5.5240200E-01,5.57227E+00
-5.5239276E-01,5.70898E+00
-5.5238352E-01,5.68945E+00
-5.5237428E-01,5.66992E+00
-5.5236504E-01,5.70898E+00
-5.5235580E-01,5.68945E+00
-5.5234656E-01,5.68945E+00
-5.5233732E-01,5.61133E+00
-5.5232808E-01,5.68945E+00
-5.5231884E-01,5.70898E+00
-5.5230960E-01,5.78711E+00
-5.5230036E-01,5.72852E+00
-5.5229112E-01,5.74805E+00
-5.5228188E-01,5.68945E+00
-5.5227264E-01,5.74805E+00
-5.5226340E-01,5.72852E+00
-5.5225416E-01,5.74805E+00
-5.5224492E-01,5.68945E+00
-5.5223568E-01,5.76758E+00
-5.5222644E-01,5.66992E+00
-5.5221720E-01,5.68945E+00
-5.5220796E-01,5.70898E+00
-5.5219872E-01,5.74805E+00
-5.5218948E-01,5.65039E+00
-5.5218024E-01,5.70898E+00
-5.5217100E-01,5.74805E+00
-5.5216176E-01,5.68945E+00
-5.5215252E-01,5.65039E+00
-5.5214328E-01,5.68945E+00
-5.5213404E-01,5.70898E+00
-5.5212480E-01,5.72852E+00
-5.5211556E-01,5.65039E+00
-5.5210632E-01,5.70898E+00
-5.5209708E-01,5.74805E+00
-5.5208784E-01,5.68945E+00
